FOODS,Calories,Carbs,Fat,Protein,Cholest,Sodium,Sugars,Fiber
6-Mar-19,,,,,,,,
FOODS,Calories,Carbs,Fat,Protein,Cholest,Sodium,Sugars,Fiber
Breakfast,,,,,,,,
"Fried Rice, 1 serving(s)",459,88g,10g,8g,0mg,667mg,10g,2g
"Wholesome Sweetners - Organic Turbinado Raw Cane Sugar, 1.5 tsp",23,6g,0g,#NAME?,0mg,#NAME?,6g,#NAME?
"Coffee - Black Coffee, 1 cup",5,1g,0g,0g,0mg,0mg,0g,0g
"Egg - Egg, 1 large",72,0g,5g,6g,186mg,71mg,0g,0g
Lunch,,,,,,,,
"Milk 2% - Milk, 0.5 cup",65,6g,3g,4g,10mg,65mg,6g,0g
"Spinach - Raw, 0.5 cup",3,1g,0g,0g,0mg,12mg,0g,0g
"Carrots, raw, 0.25 cup chopped",13,3g,0g,0g,0mg,22mg,2g,1g
"Aldis - Frozen Mixed Berries, 105 grams",53,12g,#NAME?,1g,#NAME?,#NAME?,8g,4g
"Body Fortress - Vanilla Protein Powder, 1 scoop",170,7g,3g,30g,85mg,70mg,2g,0g
"Natural - Orange, 1 orange",62,15g,0g,1g,0mg,0mg,12g,3g
Dinner,,,,,,,,
"Pan Pasta, 1 serving(s)",390,59g,14g,10g,15mg,318mg,5g,4g
"Quesadilla, 1 serving(s)",350,25g,22g,17g,60mg,995mg,1g,1g
Snacks,,,,,,,,
"Aldi - White Sandwich Bread, 1 slice",73,14g,1g,2g,0mg,230mg,2g,1g
"Honey, 0.5 tsp(s)",11,3g,0g,0g,0mg,0mg,3g,0g
"Simply Nature - Organic Peanut Butter, 3 tbsp (32g)",300,11g,26g,12g,0mg,158mg,2g,5g
"Aldi/happy Farms Preferred - Brie Cheese, 1 oz",100,1g,9g,5g,30mg,170mg,0g,0g
"Aldi's Savoritz - Club House Crackers, 6 (Crackers) (14g)",105,14g,5g,2g,0mg,188mg,2g,0g
TOTAL:,"2,254",266g,98g,98g,386mg,"2,966mg",61g,21g
7-Mar-19,,,,,,,,
FOODS,Calories,Carbs,Fat,Protein,Cholest,Sodium,Sugars,Fiber
Breakfast,,,,,,,,
"Egg - Plain Whole Scrambled Egg, 2 large",140,0g,10g,12g,370mg,140mg,0g,0g
"Wholesome Sweetners - Organic Turbinado Raw Cane Sugar, 1.5 tsp",23,6g,0g,#NAME?,0mg,#NAME?,6g,#NAME?
"Coffee - Black Coffee, 1 cup",5,1g,0g,0g,0mg,0mg,0g,0g
"Cholula - Hot Sauce - Original, 0.75 tsp",0,0g,0g,0g,0mg,83mg,0g,0g
"Butter - Unsalted, 1 pat (1"" sq, 1/3"" high)",36,0g,4g,0g,11mg,1mg,0g,0g
"salt - Kosher Salt, 0.25 tsp.",0,0g,0g,0g,0mg,280mg,0g,0g
Lunch,,,,,,,,
"Pan Pasta, 1 serving(s)",390,59g,14g,10g,15mg,318mg,5g,4g
"Natural - Orange, 1 orange",62,15g,0g,1g,0mg,0mg,12g,3g
Dinner,,,,,,,,
"Restaurant Chips - Tortilla Chips, 1 serving (about 14 chips)",140,17g,7g,2g,0mg,80mg,0g,2g
"Generic - Carnitas Soft Taco, 1 taco",250,18g,10g,18g,38mg,200mg,#NAME?,2g
"Taco Cabana - Barbacoa Taco, 1 taco",270,19g,13g,15g,55mg,420mg,0g,1g
"Chipotle - Chicken Tacos, 1 tacos",172,12g,7g,14g,52mg,343mg,2g,3g
Snacks,,,,,,,,
"Ben and jerrys - Pint slice, 1 bar",280,29g,18g,3g,40mg,70mg,25g,1g
TOTAL:,"1,768",176g,83g,75g,581mg,"1,935mg",50g,16g
8-Mar-19,,,,,,,,
FOODS,Calories,Carbs,Fat,Protein,Cholest,Sodium,Sugars,Fiber
Breakfast,,,,,,,,
"Cholula - Hot Sauce - 1 Serving, 1 tsp (5g)",0,#NAME?,#NAME?,#NAME?,#NAME?,110mg,#NAME?,#NAME?
"Quesadilla, 1 serving(s)",350,25g,22g,17g,60mg,995mg,1g,1g
"Ants on a log, 1 serving(s)",271,24g,17g,9g,0mg,282mg,16g,5g
Lunch,,,,,,,,
"Aldi - White Sandwich Bread, 1 slice",73,14g,1g,2g,0mg,230mg,2g,1g
"Cheese, cheddar, 0.15 cup, melted",149,0g,12g,9g,37mg,236mg,0g,0g
"Milk 2% - Milk, 0.5 cup",65,6g,3g,4g,10mg,65mg,6g,0g
"Blueberries, frozen, unsweetened, 1 cup, unthawed",79,19g,1g,1g,0mg,2mg,13g,4g
"Natural - Orange, 1 orange",62,15g,0g,1g,0mg,0mg,12g,3g
"Carrots, raw, 0.5 cup chopped",26,6g,0g,1g,0mg,44mg,3g,2g
"Cholula - Hot Sauce - 1 Serving, 0.5 tsp (5g)",0,#NAME?,#NAME?,#NAME?,#NAME?,55mg,#NAME?,#NAME?
"Egg - Plain Whole Scrambled Egg, 2 large",140,0g,10g,12g,370mg,140mg,0g,0g
Dinner,,,,,,,,
"Baked Chicken Thighs, 0.17 serving(s)",81,8g,3g,5g,18mg,67mg,0g,1g
"Pasta Aglio e Olio, 1 serving(s)",908,91g,56g,15g,0mg,590mg,4g,5g
Snacks,,,,,,,,
